lemma,lemma_freq,lemma_len,n_forms
damn,2010010.0,4,1
damp,1479540.0,4,1
dance,1212113.0,5,1
dank,131695.0,4,1
dare,1389752.0,4,1
dark,17668371.0,4,1
darken,826953.0,6,1
darkness,5404942.0,8,1
dash,349027.0,4,1
data,67806624.0,4,1
daughter,13702865.0,8,1
dawn,2570111.0,4,1
day,133496460.0,3,2
daylight,26738.0,8,1
de,75082133.0,2,1
dead,18094749.0,4,1
deadly,1695296.0,6,1
deathbed,54187.0,8,1
debris,1484718.0,6,1
debt,2062996.0,4,1
deceptively,175132.0,11,1
decide,8384940.0,6,1
decided,17207383.0,7,1
decision,27152106.0,8,1
declare,1265755.0,7,1
decree,1666986.0,6,1
deep,1323712.0,4,1
deficit,250805.0,7,1
deflate,176769.0,7,1
dejectedly,43180.0,10,1
delusion,57729.0,8,1
demand,21709193.0,6,2
demon,1100088.0,5,1
demonstrably,169759.0,12,1
deny,5318967.0,4,1
depression,6794796.0,10,1
descend,1647453.0,7,1
describe,29601923.0,8,1
description,12722779.0,11,1
desperate,2624557.0,9,1
desperately,1575581.0,11,1
despise,764300.0,7,1
despite,8358374.0,7,1
despondently,23973.0,12,1
detect,3120683.0,6,1
development,59678974.0,11,1
developmental,4024232.0,13,1
deviate,415371.0,7,1
diagnose,1653583.0,8,1
diagnosis,7071535.0,9,1
diagnostic,3176470.0,10,1
didn't,47073.0,6,1
die,33926141.0,3,2
different,94725345.0,9,1
difficult,29966493.0,9,1
difficulty,8064589.0,10,1
dig,1306987.0,3,1
dining,2910400.0,6,1
direct,9211710.0,6,1
directly,21473786.0,8,1
dirt,2469424.0,4,1
disabling,352299.0,9,1
disagreement,663187.0,12,1
disappear,2425438.0,9,1
disc',1903814.0,5,1
discern,1055330.0,7,1
discover,10134571.0,8,1
discrepancy,992447.0,11,1
discussion,5430402.0,10,1
dismissively,72289.0,12,1
disorder,13627140.0,8,2
distance,18155596.0,8,1
distant,5369442.0,7,1
distinct,8688807.0,8,1
dizzy,421097.0,5,1
do,588568299.0,2,5
doctor,4437051.0,6,1
document,9219329.0,8,1
dollar,4512285.0,6,1
dominant,7853052.0,8,1
don't,5036.0,5,1
door,28468168.0,4,1
doorway,1916234.0,7,1
doubt,14188519.0,5,1
down,98751710.0,4,1
downtown,1857146.0,8,1
dr,1.0,2,1
dramatic,6068148.0,8,1
dramatically,2857005.0,12,1
draw,35452150.0,4,4
dreaded',674403.0,8,1
dreadful,1253651.0,8,1
dress,6577482.0,5,1
drink,7737324.0,5,1
driven,7179813.0,6,1
driving,6322359.0,7,1
drop,17707105.0,4,3
dry,10398401.0,3,1
dubious,868864.0,7,1
dubiously,68711.0,9,1
duck,1625591.0,4,2
ducks',636351.0,6,1
dug,1560602.0,3,1
dull,2135047.0,4,1
dummy,156887.0,5,1
during,83487480.0,6,1
dust,4736167.0,4,1
dutch,5482640.0,5,1
dying',4562528.0,6,1
each,121902893.0,4,1
eagle,922318.0,5,1
eagle's,56121.0,7,1
ear,10696107.0,3,2
early,79254223.0,5,2
earn,3868494.0,4,1
earnest,1460895.0,7,1
earth,16796169.0,5,1
earthly,1442442.0,7,1
easily,17543865.0,6,1
easy,18267075.0,4,1
echolalia,19075.0,9,1
economic,44242546.0,8,1
economist,1823948.0,9,1
edge',11438505.0,5,1
effect,32198969.0,6,1
effectively,7961745.0,11,1
effort,16657004.0,6,1
eighteen,2726135.0,8,1
eighth,1359044.5,6,1
eighty,2472271.0,6,2
eightysixyearold,172212.0,16,1
either,45955645.0,6,1
elderly,4691520.0,7,1
electroencephalogram,7980.0,20,1
elephant,1213127.0,8,1
elevate,3118209.0,7,1
else,23413085.0,4,1
elvis,650069.0,5,1
elvis's,37482.0,7,1
elvis's',37482.0,8,1
emaciated,183967.0,9,1
emanate,225749.0,7,1
emerge,5866040.0,6,1
emperor's,226486.0,9,1
empire,5018515.0,6,1
empty,667879.0,5,1
encounter,4172025.0,9,1
encourage,6234031.0,9,1
encouraging,2968133.0,11,1
encouragingly,68162.0,13,1
end,74524696.0,3,2
ended',8015011.0,6,1
enforce,2141850.0,7,1
enforceable,503690.0,11,1
engage,7793318.0,6,1
england,21443938.0,7,1
enjoy,7576280.0,5,1
enjoyed,5898243.0,7,1
enormous,5284735.0,8,1
enough,42301468.0,6,1
enter,23478542.0,5,2
entrance,5072945.0,8,1
envelop,431228.0,7,1
environmental,14589692.0,13,1
erase,582347.0,5,1
establish,34962087.0,9,2
estimate,8552136.0,8,1
eugene,1514603.0,6,1
